SetCount,TermsCount,ErrorCount,Error,Width,Amptitude,Time
0,0,0,0,120,600,566.712
0,1,0,0,160,800,532.638
0,2,0,0,120,200,400.1111
0,3,0,0,160,200,315.976299999999
0,4,0,0,40,200,550.4281
0,5,0,0,80,400,583.1
0,6,0,0,40,400,666.8015
0,7,0,0,80,800,584.3035
0,8,0,0,80,600,634.0173
0,9,0,0,160,600,565.6803
0,10,0,0,120,400,467.620400000002
0,11,0,0,40,600,833.745900000002
0,12,0,0,160,400,399.9529
0,13,0,0,120,800,532.553900000003
0,14,0,0,80,200,347.857600000003
0,15,0,0,40,800,783.781700000003
1,0,0,1,40,200,617.486000000001
1,0,1,0,40,200,649.039500000003
1,1,0,0,160,400,368.430099999998
1,2,0,0,80,200,617.241099999999
1,3,0,0,80,600,648.498699999996
1,4,0,0,120,800,685.3573
1,5,0,0,40,400,850.051799999997
1,6,0,0,40,600,800.220199999996
1,7,0,0,40,800,850.9588
1,8,0,0,160,200,281.883500000004
1,9,0,0,120,200,299.8586
1,10,0,0,120,600,799.912200000006
1,11,0,0,160,800,784.019500000002
1,12,0,0,160,600,464.663999999997
1,13,0,0,80,400,514.3151
1,14,0,0,120,400,449.100400000003
1,15,0,0,80,800,549.964899999999
2,0,0,0,120,400,432.7958
2,1,0,1,40,400,600.888099999996
2,1,1,0,40,400,832.8606
2,2,0,0,40,200,499.405700000003
2,3,0,0,160,800,564.0746
2,4,0,0,80,200,368.664399999994
2,5,0,1,160,600,417.256999999998
2,5,1,0,160,600,567.215800000005
2,6,0,0,160,200,316.468499999995
2,7,0,0,160,400,350.408199999998
2,8,0,0,40,600,886.103600000002
2,9,0,0,120,800,665.754300000001
2,10,0,0,40,800,1066.7008
2,11,0,0,120,200,331.134400000003
2,12,0,0,80,400,500.7549
2,13,0,1,80,800,600.481799999994
2,13,1,0,80,800,798.764200000005
2,14,0,0,120,600,598.91320000001
2,15,0,0,80,600,600.816999999995
3,0,0,0,80,200,414.454199999993
3,1,0,0,120,600,630.899300000005
3,2,0,0,120,400,415.643899999995
3,3,0,0,160,800,482.795299999998
3,4,0,0,40,400,649.301400000011
3,5,0,0,40,200,618.653900000005
3,6,0,0,160,600,467.74040000001
3,7,0,0,40,800,1035.0101
3,8,0,0,80,800,599.948499999999
3,9,0,0,80,400,464.894100000005
3,10,0,0,40,600,766.069000000003
3,11,0,0,120,800,549.306100000002
3,12,0,0,80,600,714.5285
3,13,0,0,160,200,366.897800000006
3,14,0,0,120,200,251.147499999992
3,15,0,0,160,400,350.0861
4,0,0,0,80,200,332.320399999997
4,1,0,0,80,600,615.758499999996
4,2,0,0,40,400,901.4804
4,3,0,1,40,800,300.255099999995
4,3,1,0,40,800,749.520499999999
4,4,0,1,120,400,416.572800000009
4,4,1,0,120,400,566.590400000001
4,5,0,0,80,800,582.323799999998
