SetCount,TermsCount,ErrorCount,Error,Width,Amptitude,Time
0,0,0,0,40,200,598.2634
0,1,0,1,160,200,450.1938
0,1,1,0,160,200,468.3293
0,2,0,0,40,800,865.6681
0,3,0,0,120,800,734.5783
0,4,0,0,120,200,484.6643
0,5,0,0,80,200,651.626399999999
0,6,0,0,160,400,548.7742
0,7,0,0,120,600,700.9823
0,8,0,0,80,400,750.3595
0,9,0,0,80,600,850.2647
0,10,0,0,40,600,883.500900000001
0,11,0,0,120,400,632.2307
0,12,0,0,160,600,649.504300000001
0,13,0,0,160,800,700.379300000001
0,14,0,0,80,800,799.727400000003
0,15,0,0,40,400,950.249899999999
1,0,0,0,160,200,483.5527
1,1,0,1,80,800,814.208300000002
1,1,1,0,80,800,1000.2201
1,2,0,0,160,600,582.592499999999
1,3,0,0,80,600,734.409299999999
1,4,0,0,80,400,599.818200000002
1,5,0,0,120,600,633.493999999999
1,6,0,0,40,600,799.765899999999
1,7,0,0,160,800,566.022600000004
1,8,0,0,40,200,767.753600000004
1,9,0,0,120,200,617.474099999999
1,10,0,0,40,400,815.421800000004
1,11,0,0,160,400,615.904699999999
1,12,0,0,120,400,650.923200000005
1,13,0,0,40,800,948.686199999996
1,14,0,0,80,200,684.477800000001
1,15,0,0,120,800,867.273399999998
2,0,0,0,80,400,665.259700000002
2,1,0,0,40,400,717.277700000006
2,2,0,0,40,200,668.876100000001
2,3,0,0,80,600,566.481
2,4,0,0,160,400,649.986499999999
2,5,0,0,120,200,584.880699999994
2,6,0,0,160,200,600.269899999999
2,7,0,0,120,600,832.171799999996
2,8,0,0,40,800,901.412600000003
2,9,0,0,160,800,683.319000000003
2,10,0,0,40,600,967.297900000005
2,11,0,0,80,200,580.684699999998
2,12,0,0,120,400,600.354099999997
2,13,0,0,120,800,734.223400000003
2,14,0,0,80,800,665.5432
2,15,0,0,160,600,683.857700000008
3,0,0,0,120,600,800.582799999989
3,1,0,0,40,400,883.088100000008
3,2,0,0,80,800,900.09580000001
3,3,0,0,160,200,465.688999999998
3,4,0,1,160,800,700.216
3,4,1,0,160,800,600.652300000002
3,5,0,0,120,200,514.573799999998
3,6,0,0,120,800,682.137300000002
3,7,0,0,120,400,599.513800000001
3,8,0,1,40,200,832.247100000008
3,8,1,0,40,200,699.792600000001
3,9,0,0,40,800,984.736999999994
3,10,0,0,40,600,749.804300000003
3,11,0,0,160,400,550.4807
3,12,0,0,80,200,415.1829
3,13,0,0,160,600,565.825200000007
3,14,0,0,80,400,599.6103
3,15,0,0,80,600,733.661299999992
4,0,0,0,80,400,615.949599999993
4,1,0,0,40,600,834.496400000004
4,2,0,0,160,600,581.807000000001
4,3,0,0,80,200,566.326199999996
4,4,0,0,80,600,900.368800000011
4,5,0,0,120,800,615.079400000002
4,6,0,0,80,800,633.373000000007
4,7,0,0,160,400,533.706200000001
4,8,0,0,120,200,480.597399999999
4,9,0,0,40,400,650.078699999998
4,10,0,0,160,800,615.907100000011
4,11,0,0,160,200,466.008699999991
4,12,0,0,120,400,569.123500000002
4,13,0,0,40,800,782.016199999998
4,14,0,0,120,600,600.258900000001
4,15,0,0,40,200,783.580399999992
5,0,0,0,120,400,551.529900000009
5,1,0,0,80,800,999.373399999997
5,2,0,0,40,800,749.588499999998
5,3,0,0,160,600,600.210399999996
5,4,0,1,80,200,517.545000000013
5,4,1,0,80,200,599.7788
5,5,0,0,120,200,448.627500000002
5,6,0,0,80,600,534.506400000013
5,7,0,0,160,200,433.974599999987
5,8,0,0,40,200,667.48000000001
5,9,0,0,80,400,799.715199999977
5,10,0,1,120,800,582.805099999998
5,10,1,0,120,800,533.546499999997
5,11,0,0,160,800,700.153900000005
5,12,0,0,40,600,600.203399999999
5,13,0,0,160,400,499.451700000005
5,14,0,0,120,600,584.881400000013
